,treatment,category,sub category,overall benefit,overall adverse,Aggression/Agitation,Anxiety,Attention,Cognition,Communication,Constipation,Depression,Diarrhea,Eczema/Skin,Falling Asleep,General,Health,Hyperactivty,Irritability,Lethargy,OCD,Reflux/Vomiting,Seizures,Self-Injury,Sensory,Social,Staying Asleep,Stimming,Tics/Abnormal,,AggressionA,AnxietyA,BehaviorA,BladderA,CognitionA,DepressionA,DizzinessA,Dry mouthA,FatigueA,GastrointestinalA,GeneralA,HeadacheA,HyperactivityA,IrritabilityA,LiverA,Loss of appetiteA,NauseaA,RashA,SeizuresA,Self-injuriousA,SleepA,StimmingA,TicsA,Weight gainA,Weight lossA
0,Casein-Free,Diet,Diet,3.2,1.1,16%,12%,16%,18%,15%,21%,3%,16%,14%,8%,28%,13%,12%,13%,2%,2%,8%,0%,0%,4%,10%,9%,7%,2%,,1%,1%,1%,0%,1%,1%,0%,0%,0%,2%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%
1,Corn-free,Diet,Diet,3.4,1.0,24%,12%,7%,14%,5%,24%,2%,29%,12%,7%,43%,10%,17%,14%,0%,5%,7%,0%,5%,7%,5%,7%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2,Feingold Diet,Diet,Diet,3.6,1.0,36%,32%,38%,30%,16%,16%,7%,9%,13%,20%,38%,22%,45%,41%,4%,9%,6%,3%,9%,23%,10%,16%,10%,3%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3,Food-Avoidance,Diet,Diet,3.7,1.0,10%,11%,14%,14%,10%,10%,4%,8%,15%,4%,31%,14%,13%,13%,3%,6%,10%,1%,3%,14%,7%,7%,8%,4%,,1%,1%,1%,0%,0%,0%,0%,0%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,6%
4,Food-Avoidance,Diet,Diet,3.6,1.2,10%,11%,14%,14%,10%,10%,4%,8%,15%,4%,31%,14%,13%,13%,3%,6%,10%,1%,3%,14%,7%,7%,8%,4%,,1%,1%,1%,0%,0%,0%,0%,0%,1%,1%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,6%
5,GFCF,Diet,Diet,3.5,1.1,18%,16%,34%,32%,28%,20%,4%,22%,20%,12%,39%,21%,24%,22%,6%,6%,10%,2%,8%,19%,24%,10%,18%,6%,,1%,0%,2%,0%,1%,0%,0%,0%,0%,2%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,4%
6,Gluten-Free,Diet,Diet,3.1,1.0,36%,33%,68%,63%,55%,41%,9%,45%,40%,24%,78%,42%,48%,43%,11%,13%,20%,5%,15%,38%,48%,21%,37%,12%,,2%,1%,3%,0%,2%,0%,0%,0%,0%,3%,0%,0%,0%,2%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,7%
7,Healthy diet,Diet,Diet,3.8,1.0,9%,12%,13%,13%,7%,19%,8%,11%,7%,10%,67%,67%,11%,13%,5%,4%,6%,1%,2%,8%,6%,7%,6%,1%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%
8,Low-Sugar,Diet,Diet,3.6,1.1,24%,20%,28%,24%,8%,12%,6%,7%,8%,12%,35%,24%,48%,29%,6%,6%,4%,0%,5%,11%,7%,12%,10%,1%,,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
9,Soy-free,Diet,Diet,3.3,1.0,10%,5%,2%,3%,2%,9%,5%,17%,5%,5%,50%,12%,7%,10%,2%,0%,9%,0%,2%,3%,2%,5%,0%,2%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
10,Specific Carbohydrate Diet,Diet,Diet,3.4,1.2,13%,27%,30%,27%,20%,7%,3%,23%,7%,3%,57%,23%,17%,23%,7%,3%,3%,3%,3%,13%,17%,3%,13%,0%,,7%,3%,3%,0%,0%,0%,0%,0%,3%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
